Image tag,Version,Arch,Build date,Tools list
web,6dc2d712,amd64,2023-08-09T11:12:12Z,:download:`web_6dc2d712_amd64.csv     </assets/installed_tools/lists/web_6dc2d712_amd64.csv>`
web,6dc2d712,arm64,2023-08-09T11:11:33Z,:download:`web_6dc2d712_arm64.csv     </assets/installed_tools/lists/web_6dc2d712_arm64.csv>`
osint,6dc2d712,amd64,2023-08-09T10:50:11Z,:download:`osint_6dc2d712_amd64.csv     </assets/installed_tools/lists/osint_6dc2d712_amd64.csv>`
osint,6dc2d712,arm64,2023-08-09T10:48:56Z,:download:`osint_6dc2d712_arm64.csv     </assets/installed_tools/lists/osint_6dc2d712_arm64.csv>`
full,6dc2d712,arm64,2023-08-09T09:12:21Z,:download:`full_6dc2d712_arm64.csv     </assets/installed_tools/lists/full_6dc2d712_arm64.csv>`
light,6dc2d712,amd64,2023-08-09T02:53:53Z,:download:`light_6dc2d712_amd64.csv     </assets/installed_tools/lists/light_6dc2d712_amd64.csv>`
ad,6dc2d712,amd64,2023-08-09T02:53:35Z,:download:`ad_6dc2d712_amd64.csv     </assets/installed_tools/lists/ad_6dc2d712_amd64.csv>`
light,6dc2d712,arm64,2023-08-09T01:50:40Z,:download:`light_6dc2d712_arm64.csv     </assets/installed_tools/lists/light_6dc2d712_arm64.csv>`
ad,6dc2d712,arm64,2023-08-09T01:22:21Z,:download:`ad_6dc2d712_arm64.csv     </assets/installed_tools/lists/ad_6dc2d712_arm64.csv>`
osint,2ad874d0,amd64,2023-08-08T22:36:33Z,:download:`osint_2ad874d0_amd64.csv     </assets/installed_tools/lists/osint_2ad874d0_amd64.csv>`
osint,2ad874d0,arm64,2023-08-08T22:36:13Z,:download:`osint_2ad874d0_arm64.csv     </assets/installed_tools/lists/osint_2ad874d0_arm64.csv>`
web,2ad874d0,amd64,2023-08-08T22:27:32Z,:download:`web_2ad874d0_amd64.csv     </assets/installed_tools/lists/web_2ad874d0_amd64.csv>`
web,2ad874d0,arm64,2023-08-08T22:02:46Z,:download:`web_2ad874d0_arm64.csv     </assets/installed_tools/lists/web_2ad874d0_arm64.csv>`
nightly,1a697417,amd64,2023-07-25T21:55:32Z,:download:`nightly_1a697417_amd64.csv     </assets/installed_tools/lists/latest_nightly_amd64.csv>`
nightly,1a697417,arm64,2023-07-25T21:55:17Z,:download:`nightly_1a697417_arm64.csv     </assets/installed_tools/lists/latest_nightly_arm64.csv>`
